Category,Brand Name,Model Name,Description,Material,Care,Page URL,Title,Meta description,Meta keywords
Men/Shoes/Sneakers,Brando,Hurson Sneakers,"The Hurson Sneakers are a must have for this season . Perfect for autumn and winter, these dual zip boots are easy care and easy to wear. The thick rubber soles will give years of sturdy durability- available in seasonal essential colourways. Brando has been creating footwear for discerning gentlemen for over 25 years. With a focus on quality, Brando seeks to embody each style with a classic aesthetic combined with contemporary looks. - Leather upper and lining - Dual zips - Rubber sole - Leather Pull-up - Black colour",,,https://www.theiconic.com.au/hurson-sneakers-831443.html,Hurson Sneakers by Brando Online | THE ICONIC | Australia,Buy Hurson Sneakers by Brando online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Hurson Sneakers, Brando, Shoes, Sneakers, Hi-Tops"
unisex/Shoes/Sneakers,Globe,CT-IV Classic - Unisex,"An updated version of a 90s skateboarding favourite, the CT-IV Classic sneakers from Globe feature a supportive Nitrocelв„ў airbag outsole for complete cushioning. - Genuine suede leather upper- Low profile- Pastel mustard yellow shade; optic white contrast sole- Round toe- Six eyelet lace-up front- Cushioned collar and tongue- Branding to heel and side- Pull tab to heel; blue- Nitrocelв„ў outsole; airbag cushioning to heel and arch for added support","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/ct-iv-classic-unisex-875457.html,CT-IV Classic - Unisex by Globe Online | THE ICONIC | Australia,Buy CT-IV Classic - Unisex by Globe online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"CT-IV Classic - Unisex, Globe, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,BOSS,Moccasin Driver,"Sophisticated, stylish, and distinctively European, the BOSS collection offers modern and refined accessories with a strong focus on both style and quality. The epitome of authentic and understated luxury, the global designer label offers pieces for those who value quality and superior workmanship. From expertly crafted suits to crisp cotton shirts, polos and smart accessories, BOSS has all your wardrobe essentials covered. - Grained leather upper and lining- Black shade- Classic moccasin silhouette- Raised toe stitching- Penny keeper across vamp- Beef roll stitching- Small gunmetal-toned brand lettering to vamp- Rubber sole- Made in Italy","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/moccasin-driver-887166.html,Moccasin Driver by BOSS Online | THE ICONIC | Australia,Buy Moccasin Driver by BOSS online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Moccasin Driver, BOSS, Shoes, Dress Shoes, Loafers"
Men/Shoes/Boots,R.M.Williams,Rickaby Boots,"Crafted from superior quality matte leather and boasting a sleek lace-up silhouette, R.M. Williams' Rickaby Boots exude style and sophistication, with a touch of Australian charm. - Smooth genuine leather upper- Rich cognac shade; natural wood-look accents- Bronze-toned hardware- Classic round toe- Seven-eyelet, lace-up design- Half-welt construction- Heel pull tab with embroidered branding- Leather-lined insole- Oil-resistant rubber outside- Stacked heel- Manufactured in New Zealand- Standard G Fit","Inner: Leather
Sole: Rubber
Upper: Yearling Leather",,https://www.theiconic.com.au/rickaby-boots-879117.html,Rickaby Boots by R.M.Williams Online | THE ICONIC | Australia,Buy Rickaby Boots by R.M.Williams online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Rickaby Boots, R.M.Williams, Shoes, Boots, Lace-up Boots"
Men/Shoes/Boots,Wild Rhino,Tyler,"Hand-crafted from burnished leather, this sturdy European leather boot, Tyler by Wild Rhino, brings character and texture to your style. With a solid outsole and a rough around the edges charm, this boot is sure to take you places. - Upper: Premium first grade full grain leather  - Lining: Premium textile  - Sole: Two piece resin rubber  - Made in Portugal Care instructions: Use silicone-free protective spray which repels against water, dirt, grease and grim. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",,,https://www.theiconic.com.au/tyler-622898.html,Tyler by Wild Rhino Online | THE ICONIC | Australia,Buy Tyler by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Tyler, Wild Rhino, Shoes, Boots"
Men/Shoes/Dress Shoes,Grenson,Archie V,"Expertly crafted from genuine calf leather, the Archie brogues by British heritage men's label Grenson are a contemporary take on a traditional style. Featuring a classic silhouette with wingtip toecap and perforated detailing, the shoes are set on a rubber lug sole for a modern twist. Finished with the label's signature Goodyear welting, this pair are a chic and practical addition to your everyday and occasion looks. - Genuine calf leather Wingtip toecap Punch-hole & wingtip detailing Five eyelet lacing Goodyear welted construction- Split welt outsole Lightweight flex outdoor sole unit- Standard ""G"" fitting","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/archie-v-499407.html,Archie V by Grenson Online | THE ICONIC | Australia,Buy Archie V by Grenson online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Archie V, Grenson, Shoes, Dress Shoes, Brogues & Oxfords"
unisex/Shoes/Sneakers,Globe,CT-IV Classic - Unisex,"An updated version of a 90s skateboarding favourite, the CT-IV Classic sneakers from Globe feature a supportive Nitrocelв„ў airbag outsole for complete cushioning. - Genuine suede upper; synthetic overlays - Low profile - White, silver, mint and grey shades; contrast white and pink accents- Round toe - Six eyelet lace-up front - Cushioned collar and tongue - Branding to heel and side - Pull tab to heel- Nitrocelв„ў outsole; airbag cushioning to heel and arch for added support","Inner: Textile
Sole: Synthetic
Upper: Leather & Synthetic",,https://www.theiconic.com.au/ct-iv-classic-unisex-901217.html,CT-IV Classic - Unisex by Globe Online | THE ICONIC | Australia,Buy CT-IV Classic - Unisex by Globe online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"CT-IV Classic - Unisex, Globe, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,Brando,Lord Lace Ups,"The
Lord Lace Ups by Brando are made in Italy with soft leather. The true
Oxford style complete with patterned perforations, curved seam lines, slight
heel and straight, horizontal laces. A patent leather finish provides
reflective high shine. The most dapper dress shoes for any high-profile
occasion. Designed for discerning men with a keen eye for style. - Made in Italy - Leather upper - Leather sole",,,https://www.theiconic.com.au/lord-lace-ups-978586.html,Lord Lace Ups by Brando Online | THE ICONIC | Australia,Buy Lord Lace Ups by Brando online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Lord Lace Ups, Brando, Shoes, Dress Shoes"
Men/Shoes/Sneakers,Sperry,Striper II CVO Oxford Shirt Sneakers,"Combining durability with style, the Sperry Striper II CVO Oxford Shirt Sneakers will soon become your go-to staple. Featuring a cotton oxford upper resembling your favourite button-up, the low-top shoes are finished with contrast rawhide leather laces. - Cotton oxford upper- True white shade- Rounded toe- Five-eye lace-up fastening; brown rawhide leather- Silver-toned hardware- Navy stripe to midsole- Removable contoured footbed; moulds to foot for support- Contrast non-marking rubber outsole with Molded Wave-Sipingв„ў technology","Inner: Textile
Sole: Synthetic
Upper: Textile",,https://www.theiconic.com.au/striper-ii-cvo-oxford-shirt-sneakers-747339.html,Striper II CVO Oxford Shirt Sneakers by Sperry Online | THE ICONIC | Australia,Buy Striper II CVO Oxford Shirt Sneakers by Sperry online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Striper II CVO Oxford Shirt Sneakers, Sperry, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,PS by Paul Smith,Rex Sneakers,"Finding inspiration in everything, Paul SmithвЂ™s diffusion line, PS by Paul Smith, features humorous, eclectic and high art references вЂ“ each design stands apart from the rest. A case in point, their Rex Sneakers feature a clean white leather upper subtly detailed with the brandвЂ™s signature multi-hued stripe embroidered to the sides. - Genuine leather upper - Optic white shade - Round toe - Lace-up fastening - Padded tongue and collar - Silver foil branding to tongue and heel counter - Multi-hued stripes embroidered to sides - Embossed branding - Sturdy rubber sole","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/rex-sneakers-922541.html,Rex Sneakers by PS by Paul Smith Online | THE ICONIC | Australia,Buy Rex Sneakers by PS by Paul Smith online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Rex Sneakers, PS by Paul Smith, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Wild Rhino,Whitley,"Whitley is Wild Rhino's newest casual shoe team member. The sporty sneakers are made from premium, supple and rich leather with a textured and sturdy rubber outsole to match for durability. Don't forget all the Wild Rhino details as well as matching colour laces for style.вЂ“ Sporty outsole made from premium rubber for extra wearвЂ“ Soft leather upper with soft suede tongueвЂ“ Incredibly soft padded comfort footbedвЂ“ Contrasting leather heelвЂ“ Signature Wild Rhino embossingUpper: Premium First Grade Leather Lining: Premium TextileSole: RubberCountry of Manufacture: PortugalKeep your Wild Rhino shoes in fantastic condition with silicone-free protective spray which repels against water, dirt, grease and grim. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",,,https://www.theiconic.com.au/whitley-817230.html,Whitley by Wild Rhino Online | THE ICONIC | Australia,Buy Whitley by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Whitley, Wild Rhino, Shoes, Sneakers, Casual Shoes"
Men/Shoes/Dress Shoes,Julius Marlow,Knock,"A classic derby, the Knock oxfords from Julius Marlow are a must-have for the 21st Century man. The sleek leather lace-ups hold a low-lying, streamlined silhouette, and are accented with a sturdy square toe. - Smooth, genuine leather upper  Polished tan brown finish  Almond toe with squared tip Lace-up front Padded footbed Stacked heel","Inner: Leather & Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/knock-480417.html,Knock by Julius Marlow Online | THE ICONIC | Australia,Buy Knock by Julius Marlow online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Knock, Julius Marlow, Shoes, Dress Shoes, Brogues & Oxfords"
Men/Shoes/Casual Shoes,Clarks Originals,Desert London,"The Clarks Originals Desert London shoes are made from premium leather with a rustic finish, and feature a durable rubber sole. - 100% Genuine brown leather upper and lining- Round toe- Lace-up fastening- Distinctive stitch detailing around the outsole- Soft rubber sole PLEASE NOTE: Clarks shoes come in AU/UK sizing. Please refer to the Size Guide to ensure you receive the correct size.","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/desert-london-413114.html,Desert London by Clarks Originals Online | THE ICONIC | Australia,Buy Desert London by Clarks Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Desert London, Clarks Originals, Shoes, Casual Shoes"
Men/Shoes/Running,Puma,Hybrid Astro - Men's,"Engineered to perform during high energy running, the Hybrid Astro sneakers from Puma feature superior cushioning and built-in PROFOAM flex grooves to the heel for a smooth ride. - Knitted upper; lightweight caged detailing to sides Black shade; optic white accents; white pebble-look foam details to sole NETFIT customisable lace-up design Reflective silver branding to tongue Inner midfoot shank for support HYBRID and PROFOAM  NRGY cushioning and IGNITE foam hybrid mid-sole for ultimate comfort and security Formstrip overlay to lateral sides - Rubberised heel counter with Big Cat logo- Rubber sole","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/hybrid-astro-men-s-831294.html,Hybrid Astro - Men's by Puma Online | THE ICONIC | Australia,Buy Hybrid Astro - Men's by Puma online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Hybrid Astro - Men's, Puma, Shoes, Running, Performance Shoes"
Men/Shoes/Outdoor,New Balance,Hierro - Men's,"PLEASE NOTE - THE ICONIC IS UNABLE TO SHIP THIS PRODUCT TO NEW ZEALAND Get off the beaten track and go exploring in the Hierro running shoes from New Balance, integrating HypoSkin technology into a bootie sock-like fit for a multi-functional, multi-terrain trail pair that offer an unbelievable level of comfort, support and traction. - HypoSkin technology enhanced mesh upper- Sapphire blue upper with cobalt, canary yellow and black accents- Sock-like bootie construction- Lace-up design with eyelets; contrasting laces- Rounded toe with rubber toe guard- Snug ankle collar- Pull-on heel tab- Rubber branding to outer heel- Fresh Foam foundation delivers smooth, consistent comfort - VibramВ® MegaGrip outsole provides superior traction- Aggressive lugs provide multi-directional traction- Lightweight Fantom Fit; ultralight support","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/hierro-men-s-828607.html,Hierro - Men's by New Balance Online | THE ICONIC | Australia,Buy Hierro - Men's by New Balance online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Hierro - Men's, New Balance, Shoes, Outdoor, Running"
Men/Shoes/Sneakers,Onitsuka Tiger,Fabre BL-S Sneakers,"Lifestyle brand Onitsuka Tiger delivers designs grounded in Japanese heritage with a contemporary, urban flair. The brandвЂ™s range of sneakers is renowned the world over, with their signature Mexico 66 style sitting alongside collaborative efforts with like-minded artists. - Mixed genuine leather and faux leather upper- Low profile sneaker silhouette- Black with white accents- Rounded toe- Six-eyelet lace-up fastening- Woven brand tab to tongue- Padded tongue and heel- White brand stripe overlays to sides- Vulcanised rubber sole","Inner: Synthetic
Sole: Synthetic
Upper: Leather & Synthetic",,https://www.theiconic.com.au/fabre-bl-s-sneakers-879372.html,Fabre BL-S Sneakers by Onitsuka Tiger Online | THE ICONIC | Australia,Buy Fabre BL-S Sneakers by Onitsuka Tiger online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Fabre BL-S Sneakers, Onitsuka Tiger, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Brando,Arao Sneakers,"Brando has been creating footwear for discerning gentlemen for over 25 years. With a focus on quality, Brando seeks to embody each style with a classic aesthetic combined with contemporary looks. The Arao Sneakers have been crafted from a soft perforated leather upper, and features a rounded toe cap, raw finished leather laces, seven eyelet upper, full leather lining and a rubber cup sole - Genuine leather upper - Casual Design- Rounded toe - Versatile Hue- Leather laces- Leather lining- Made in Portugal Inner: Leather Sole: Rubber Upper: Leather",,,https://www.theiconic.com.au/arao-sneakers-629565.html,Arao Sneakers by Brando Online | THE ICONIC | Australia,Buy Arao Sneakers by Brando online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Arao Sneakers, Brando, Shoes, Sneakers"
Men/Shoes/Loafers,Sanders,Plain Gibson,"Expertly crafted in England from genuine suede leather, the Plain Gibson by Sanders is rendered in a sleek navy hue and shaped with an almond toe. вЂ‹ - Genuine suede leather upper and lining- Navy shade- Almond toe- Four-eyelet lace-up front- Beige stitching to welt- 2.5cm stacked heel- Contrast rust-toned outsole- Made in England","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/plain-gibson-807509.html,Plain Gibson by Sanders Online | THE ICONIC | Australia,Buy Plain Gibson by Sanders online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Plain Gibson, Sanders, Shoes, Loafers, Casual Shoes"
Men/Shoes/Lifestyle Shoes,Ellesse,Fillipo - Men's,"Italian sportswear giant Ellesse is the ultimate fusion of form and function. The brand was founded in 1959 by tailor Leonardo Servadio, after he was unable to find skiwear for himself that was at once stylish and performance-minded. In the fifty years since, Ellesse has expanded their portfolio to include premium sportswear and lifestyle ranges, dressing athletes at the highest level, all while infusing every piece with a fashion-forward sensibility. - Smooth leatherette upper- Black- Open toe- Wide vamp strap; padded; branded- Contoured footbed- 3cm platform","Inner: Textile
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/fillipo-men-s-901619.html,Fillipo - Men's by Ellesse Online | THE ICONIC | Australia,Buy Fillipo - Men's by Ellesse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Fillipo - Men's, Ellesse, Shoes, Lifestyle Shoes, Slides"
Men/Shoes/Boots,Wolverine,"Original 1000 Mile 6"" Leather Boots","The Original 1000 Mile Boot 6"" Leather Boots tap into Wolverine's inimitable heritage, utilising the same time-honoured techniques and unwavering attention to detail as the Original 1000 Mile Boot first produced over one hundred years ago. This modern lace-up iteration combines premium Horween leather with Vibram rubber through the sole for a flawless blend of comfort, durability and enduring style. - Horween leather upper- Deep cordovan shade; contrast stitching- Goodyear welted construction- Round toe- Seven-eye combination lace-up fastening; waxed flat brown laces- Leather outsole; stacked leather heel with Vibram rubber- Includes protective dust bags- Made in USA PLEASE NOTE: This style runs large so we recommend buying one size down for a regular fit.","Inner: Leather & Textile
Sole: Leather & Man-Made
Upper: Leather",,https://www.theiconic.com.au/original-1000-mile-6-leather-boots-599991.html,"Original 1000 Mile 6"" Leather Boots by Wolverine Online | THE ICONIC | Australia","Buy Original 1000 Mile 6"" Leather Boots by Wolverine online at THE ICONIC. Free and fast delivery to Australia and New Zealand.","Original 1000 Mile 6"" Leather Boots, Wolverine, Shoes, Boots, Lace-up Boots"
Men/Shoes/Dress Shoes,Brando,Abel Lace Ups,"Abel Lace Ups by Brando are a must have for this season. These understated lace-ups are simply the best for any work or admin role when you're often upon your feet. These quality shoes will not only look great but perform well too.- Leather upper,sole and lining - Made in Italy- Lace up style- Waxed laces",,,https://www.theiconic.com.au/abel-lace-ups-820608.html,Abel Lace Ups by Brando Online | THE ICONIC | Australia,Buy Abel Lace Ups by Brando online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Abel Lace Ups, Brando, Shoes, Dress Shoes, Slip-Ons"
Men/Shoes/Sneakers,Fila,Original Fitness Sneakers - Men's,"Reinvigorating their iconic retro silhouette, Fila's Original Fitness Sneakers offer a vibrant pair cast in a purple, lime green, and turquoise colourway for a fresh take on the trending sneaker aesthetic. - Smooth leather and faux leather upper- Low profile silhouette- Grape purple shade; lime green and turquoise contrast- Round toe- Six-eyelet lace-up fastening- Perforated detail through toe and sides- Stripe detail on sides- Embroidered logo to outer side; tonal white- Padded tongue and collar; pastel embroidered logos to tongue and outer heel- Brand-embossed rubber outsole; white","Inner: Textile
Sole: Rubber
Upper: Leather & Textile",,https://www.theiconic.com.au/original-fitness-sneakers-men-s-792169.html,Original Fitness Sneakers - Men's by Fila Online | THE ICONIC | Australia,Buy Original Fitness Sneakers - Men's by Fila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Original Fitness Sneakers - Men's, Fila, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Barney Cools,Poolside Sneakers,Casual-cool comes naturally when you're wearing Barney Cools. The Poolside Sneakers in Seagrass Green are a contemporary take on the classic canvas shoe.,,Please refer to garment label for care instructions.,https://www.theiconic.com.au/poolside-sneakers-981685.html,Poolside Sneakers by Barney Cools Online | THE ICONIC | Australia,Buy Poolside Sneakers by Barney Cools online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Poolside Sneakers, Barney Cools, Shoes, Sneakers, Low-Tops"
Men/Shoes/Running,Brooks,Ghost 12 - Men's,"The new Ghost 12 running shoes from Brooks feature a lightweight 3D Fit Print with an engineered mesh upper and Segmented Crash Pad shock absorption technology for smooth heel-to-toe transitions and a smooth, supportive ride. - Panelled 3D Fit Print upper with breathable engineered mesh construction White with black and dove grey accents Rounded toe with rubber bumper and reflective applique Seven-eye lace-up fastening  Padded tongue with branded tab Black branding to sides  Padded tongue, heel and collar BioMoGo and DNA Loft midsole cushioning  Segmented Crash Pad shock absorption for smooth heel-to-toe transitions
вЂ‹- Rubber tread outsole Inner: Textile & Synthetic 
Sole: Synthetic
Upper: Rubber",,,https://www.theiconic.com.au/ghost-12-men-s-879250.html,Ghost 12 - Men's by Brooks Online | THE ICONIC | Australia,Buy Ghost 12 - Men's by Brooks online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Ghost 12 - Men's, Brooks, Shoes, Running, Performance Shoes"
Men/Shoes/Sneakers,DC Shoes,Mens Maswell Shoes,"Founded in 1994, US-based brand DC Shoes has catapulted from a performance skateboard footwear label to a globally recognised brand. Deeply rooted in the American skate culture, DC Shoes offers an array of skate apparel with a distinct urban appeal. Regarded highly by countless world-class athletes, DC Shoes is both symbolic and cutting edge.-0-Leather, nubuck, suede or mesh upper [depending on colourway]- Multi-panel upper- Welded heel logo- Foam padded tongue and collar for added comfort and support- Mesh lining for added comfort- EVA sock liner- Sculpted performance Cupsole- DC's trademarked Pill Pattern tread",,Please see garment for care instructions,https://www.theiconic.com.au/mens-maswell-shoes-962469.html,Mens Maswell Shoes by DC Shoes Online | THE ICONIC | Australia,Buy Mens Maswell Shoes by DC Shoes online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Mens Maswell Shoes, DC Shoes, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,Oak Street Bootmakers,Beefroll Penny Loafers,"Expertly handcrafted in the USA, the Beefroll Penny Loafers by Oak Street Bootmakers will elevate your day-to-night repertoire. Boasting a genuine HorweenВ® ChromexcelВ® leather construction, the loafers feature luxurious details including moccasin waxed stitching, a penny cut-out beefroll strap and stacked heel. - Genuine HorweenВ® ChromexcelВ® leather upper, lining and sole- Dark brown shade- Round toe; moccasin waxed stitching- Penny cut-out strap across vamp; beefroll details- 2.5cm stacked leather heel- Handcrafted in the USA","Inner: Leather
Sole: Leather
Upper: Leather",,https://www.theiconic.com.au/beefroll-penny-loafers-798588.html,Beefroll Penny Loafers by Oak Street Bootmakers Online | THE ICONIC | Australia,Buy Beefroll Penny Loafers by Oak Street Bootmakers online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Beefroll Penny Loafers, Oak Street Bootmakers, Shoes, Dress Shoes, Slip-Ons"
Men/Shoes/Running,New Balance,FuelCell Propel - Men's,"PLEASE NOTE - THE ICONIC IS UNABLE TO SHIP THIS PRODUCT TO NEW ZEALAND For an ultra-supportive pair that drives propulsion whilst ensuring you stay light and agile on your feet, step into the  FuelCell Propel performance running shoes from New Balance. - Trace Fiber mesh upper offers zonal support  Lead grey with black and white accents  Round toe with rubber bumper  Lace-up fastening  Padded bootie construction  White embroidered logo to the lateral heel counter  N-DuranceВ® rubber outsole for enhanced sole durability  FuelCell foam drives propulsion","Inner: Textile
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/fuelcell-propel-men-s-828614.html,FuelCell Propel - Men's by New Balance Online | THE ICONIC | Australia,Buy FuelCell Propel - Men's by New Balance online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"FuelCell Propel - Men's, New Balance, Shoes, Running, Performance Shoes"
Men/Shoes/Boots,Oxford,Braxton Boots,"A smart casual style, the Oxford Braxton Boots can be styled for work or play. Crafted from 100% Leather this durable boot features lace up center front and contrast stitch detail around the heel. Wear yours with chinos and a smart chic for the perfect casual Friday look. - Style: Boot - Material: 100% Leather - Colour: Black- Lining: Leather - Outsole: Synthetic- Heel height: 3cm",,Do not spot clean. Specialist leather cleaner only. Store away from direct sunlight.,https://www.theiconic.com.au/braxton-boots-895713.html,Braxton Boots by Oxford Online | THE ICONIC | Australia,Buy Braxton Boots by Oxford online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Braxton Boots, Oxford, Shoes, Boots, Lace-up Boots"
unisex/Shoes/Sneakers,Von-RГ¶utte,Lyon Stripe Sneakers,"Founded and designed in Australia, Von-RГ¶utte creates contemporary sneakers and leather goods. Elevate your style with the Lyon Stripe Sneakers. This pair is just the right balance between casual and luxury, featuring a leather upper, pink glittery stripe detail and pale pink soles. Handmade in Portugal with high-quality craftsmanship.  Low top profile  Upper: Leather Inner: Leather Sole: Rubber Insole with Arch Support Bronse foil logo embossment Handmade in Portugal",,,https://www.theiconic.com.au/lyon-stripe-sneakers-1011541.html,Lyon Stripe Sneakers by Von-RГ¶utte Online | THE ICONIC | Australia,Buy Lyon Stripe Sneakers by Von-RГ¶utte online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Lyon Stripe Sneakers, Von-RГ¶utte, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sandals,Suicoke,Padri - Unisex,"Slip into the unisex Padri slides by Japanese footwear innovators Suicoke. The soft slides feature an EVA foam footbead with pressure points, and a VibramВ® Morflex sole for support and traction. A Velcro-closing strap allows for a customised fit, while scuba-like padding ensures maximum comfort in your stride. - Slip-on design- Black shade- EVA foam footbed with pressure points- Single Velcro-closing strap- Padded scuba lining- Open rounded toe- VibramВ® Morflex sole- Tread for traction PLEASE NOTE: This style runs small so we recommend buying one size up for a regular fit.","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/padri-unisex-414175.html,Padri - Unisex by Suicoke Online | THE ICONIC | Australia,Buy Padri - Unisex by Suicoke online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Padri - Unisex, Suicoke, Shoes, Sandals, Lifestyle Shoes"
Men/Shoes/Sneakers,Brooks,Dyad 10 - Men's,"Look to the Brooks Dyad 10 shoes for workout to weekend wear, featuring a springy BioMoGo DNA midsole and dual arch pods for underfoot stability and a natural ride. - Engineered panelled mesh and faux suede upper Internal sockliner for secure fit Black mesh; electric blue and charcoal accents; white sole Rounded toe with rubber bumper Seven-eye lace-up fastening  BioMoGo DNA springy cushioning through midsole Padded tongue with Brooks branding Plush in-shoe sock liner Dual arch pods provide underfoot stability and a natural ride Spacious fit for wide feet and orthodics Rubber tread outsole Upper: Synthetic
Inner: Textile
Sole: Rubber",,,https://www.theiconic.com.au/dyad-10-men-s-879206.html,Dyad 10 - Men's by Brooks Online | THE ICONIC | Australia,Buy Dyad 10 - Men's by Brooks online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Dyad 10 - Men's, Brooks, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,Brando,Ken Suede Loafers,"Brando has been creating footwear for discerning gentlemen for over 25 years. With a focus on quality, Brando seeks to embody each style with a classic aesthetic combined with contemporary looks. The Italian made Ken Loafers have been crafted from a soft suede upper, and feature a stitched moccasin-style toe, piped leather edging, tan hue leather sole and stacked heel. This loafer can be dressed up for the office or dressed down for a smart-casual look. - Genuine suede upper- Leather lining and sole- Versatile Hue- Stitched Moccasin-style toe- Slip-on design- Slight stacked heel Inner: Leather Sole: Leather Upper: Leather",,,https://www.theiconic.com.au/ken-suede-loafers-568518.html,Ken Suede Loafers by Brando Online | THE ICONIC | Australia,Buy Ken Suede Loafers by Brando online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Ken Suede Loafers, Brando, Shoes, Dress Shoes, Slip-Ons"
unisex/Shoes/Sneakers,Reebok,CL Leather - Unisex,"Founded in 1958, sportswear giant Reebok is renowned around the world for designing and delivering performance footwear and apparel that inspires the wearer to be their absolute best. The brand incorporates the latest technical fabrications and performance technologies to create a range of shoes and apparel for people who treat fitness as a way of life. With an extensive edit of the brandвЂ™s signature sneakers, slides and sportswear separates, THE ICONIC is your gateway to the very best Reebok has to offer. - Leather upper - Optic white with black and teal detailing - Branded tongue - Seven-eye lace-up front - Rounded toe - Woven branding patch to side - Cushioned collar and tongue with black terry lining - High-abrasion rubber outsole","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/cl-leather-unisex-954445.html,CL Leather - Unisex by Reebok Online | THE ICONIC | Australia,Buy CL Leather - Unisex by Reebok online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"CL Leather - Unisex, Reebok, Shoes, Sneakers, Low-Tops"
Men/Shoes/Boots,Paul Smith,Canon,"Made in Italy, the suede leather Canon boots from Paul Smith are a sophisticated take on the classic Chelsea silhouette. - Genuine suede leather upper; leather lining- Dark brown shade- Round toe- Elastic gores to sides- Looped pull tab to counter- Rubber sole- 3.5cm heel height- Comes with branded dust bag- Made in Italy","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/canon-923579.html,Canon by Paul Smith Online | THE ICONIC | Australia,Buy Canon by Paul Smith online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Canon, Paul Smith, Shoes, Boots, Chelsea Boots"
